9.00,12.00,2.39,0.0000,2072,12,50,0.0700
9.00,12.00,2.39,0.0000,2072,12,50,0.0700
9.00,12.00,2.39,0.0000,2072,12,50,0.0700
9.00,12.00,2.39,0.0000,2072,12,50,0.0700
9.00,12.00,2.39,0.1889,0,12,50,0.0700
9.00,12.00,2.39,0.1889,0,12,50,0.0700
9.00,12.00,2.39,0.1889,0,12,50,0.0700
9.00,12.00,2.39,0.1889,0,12,50,0.0700
9.00,12.00,2.39,0.1889,0,12,50,0.0700
9.00,12.00,2.39,0.1889,0,12,50,0.0700
